Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,080023,2012,05,13,16.7,1,Y
IDCJAC0010,080023,2012,05,14,17.9,1,Y
IDCJAC0010,080023,2012,05,15,18.6,1,Y
IDCJAC0010,080023,2012,05,16,18.8,1,Y
IDCJAC0010,080023,2012,05,17,19.0,1,Y
IDCJAC0010,080023,2012,05,18,21.3,1,Y
IDCJAC0010,080023,2012,05,19,19.1,1,Y
IDCJAC0010,080023,2012,05,20,16.4,1,Y
IDCJAC0010,080023,2012,05,21,17.8,1,Y
IDCJAC0010,080023,2012,05,22,20.2,1,Y
IDCJAC0010,080023,2012,05,23,22.0,1,Y
IDCJAC0010,080023,2012,05,24,18.0,1,Y
IDCJAC0010,080023,2012,05,25,12.8,1,Y
IDCJAC0010,080023,2012,05,26,16.0,1,Y
IDCJAC0010,080023,2012,05,27,15.8,1,Y
IDCJAC0010,080023,2012,05,28,15.7,1,Y
IDCJAC0010,080023,2012,05,29,16.2,1,Y
IDCJAC0010,080023,2012,05,30,16.2,1,Y
IDCJAC0010,080023,2012,05,31,18.2,1,Y
IDCJAC0010,080023,2012,06,01,18.0,1,Y
IDCJAC0010,080023,2012,06,02,16.5,1,Y
IDCJAC0010,080023,2012,06,03,14.9,1,Y
IDCJAC0010,080023,2012,06,04,14.2,1,Y
IDCJAC0010,080023,2012,06,05,14.2,1,Y
IDCJAC0010,080023,2012,06,06,14.8,1,Y
IDCJAC0010,080023,2012,06,07,13.3,1,Y
IDCJAC0010,080023,2012,06,08,12.6,1,Y
IDCJAC0010,080023,2012,06,09,16.0,1,Y
IDCJAC0010,080023,2012,06,10,14.2,1,Y
IDCJAC0010,080023,2012,06,11,16.2,1,Y
IDCJAC0010,080023,2012,06,12,16.5,1,Y
IDCJAC0010,080023,2012,06,13,17.7,1,Y
IDCJAC0010,080023,2012,06,14,15.4,1,Y
IDCJAC0010,080023,2012,06,15,16.6,1,Y
IDCJAC0010,080023,2012,06,16,18.0,1,Y
IDCJAC0010,080023,2012,06,17,16.3,1,Y
