"","DC1","DC2","DC3","DS1","DS2","DS3","SC1","SC2","SC3","SS1","SS2","SS3","U1","U2","U3"
"Otu01786",0,4,0,1,0,1,0,3,1,7,3,0,10,8,6
"Otu01807",0,2,1,2,2,4,0,0,1,4,14,7,3,0,4
"Otu01846",0,1,2,2,7,3,3,6,5,1,3,5,2,3,1
"Otu01863",5,14,7,2,3,3,0,1,2,2,2,2,0,1,0
"Otu01915",8,9,9,0,2,1,0,0,0,3,3,1,2,1,5
"Otu01928",3,2,5,3,1,1,3,9,1,3,2,5,2,0,4
"Otu01951",0,1,1,0,0,1,0,1,0,0,0,0,10,13,17
"Otu01966",1,2,1,3,5,5,3,0,8,1,0,4,1,8,2
"Otu01986",0,7,0,6,1,8,1,1,3,6,6,5,0,0,0
"Otu01991",0,0,6,0,0,0,2,4,0,1,1,4,11,8,7
"Otu02015",2,1,0,3,2,5,2,5,3,0,5,2,6,6,2
"Otu02023",7,4,2,1,2,2,0,5,5,2,7,3,3,0,1
"Otu02028",2,3,9,4,0,1,2,4,1,5,1,5,3,0,4
"Otu02045",4,5,0,2,3,5,4,2,1,3,4,2,2,6,1
"Otu02058",3,5,8,1,0,1,2,0,2,1,2,2,10,5,2
"Otu02065",0,0,0,0,0,0,0,0,0,1,0,0,12,19,12
"Otu02069",5,1,2,0,4,7,2,3,0,2,1,8,4,4,1
"Otu02084",2,0,3,3,5,2,3,3,2,6,3,2,2,5,3
"Otu02091",5,2,4,5,2,2,4,6,0,4,0,2,2,3,3
"Otu02097",4,9,1,7,0,2,2,2,2,7,7,1,0,0,0
"Otu02109",6,4,1,1,0,4,2,3,3,1,7,7,3,1,1
"Otu02139",1,2,5,5,0,3,5,0,0,0,2,3,6,3,9
"Otu02141",1,3,3,0,5,0,2,2,4,0,6,11,0,6,1
"Otu02156",1,0,3,4,2,4,9,11,0,0,4,0,5,1,0
"Otu02173",2,2,3,3,2,5,2,2,3,0,3,1,5,8,3
"Otu02181",2,4,0,2,7,3,0,6,2,5,0,4,4,2,3
"Otu02195",1,5,5,2,3,2,0,0,4,0,0,9,9,3,1
"Otu02208",4,0,1,0,0,0,8,2,0,0,4,0,11,0,14
"Otu02211",2,6,3,2,2,4,1,1,1,4,3,5,2,7,1
"Otu02220",4,4,8,1,6,6,0,4,3,2,2,3,1,0,0
"Otu02222",3,5,3,0,0,0,3,9,2,4,0,2,3,7,3
"Otu02229",1,9,3,7,2,0,1,1,2,1,1,2,8,5,1
"Otu02241",3,6,7,6,1,2,1,5,2,3,5,3,0,0,0
"Otu02285",0,1,1,0,4,3,7,4,1,4,5,7,6,1,0
"Otu02297",2,5,4,10,0,2,4,1,3,0,4,2,7,0,0
"Otu02300",4,2,4,2,0,5,5,8,3,2,1,6,2,0,0
"Otu02305",3,5,1,3,2,8,1,0,0,0,3,3,6,3,6
"Otu02306",0,3,1,1,0,0,4,2,2,3,6,4,5,3,10
"Otu02328",2,4,7,1,7,4,0,0,2,3,4,6,0,1,3
"Otu02346",0,6,7,0,5,5,0,1,0,0,5,3,8,2,2
"Otu02352",4,4,6,3,3,0,2,4,2,3,8,2,0,1,2
"Otu02587",2,7,5,2,5,4,7,5,0,1,0,3,1,2,0
"Otu01646",7,1,2,0,3,0,0,3,2,2,1,2,4,11,5
"Otu01785",2,4,0,2,2,7,1,0,6,3,1,5,6,1,3
"Otu01917",0,2,3,8,4,2,4,3,5,6,0,1,3,2,0
"Otu01927",5,4,2,1,0,3,0,1,1,1,4,2,13,4,2
"Otu01939",3,1,4,3,1,3,5,3,2,2,5,8,3,0,0
"Otu01958",4,3,8,1,3,2,8,1,7,2,0,2,1,0,1
"Otu01962",3,3,7,2,5,1,1,5,0,4,1,6,3,0,2
"Otu01975",0,5,0,2,7,5,2,3,0,0,3,7,4,5,0
"Otu01980",3,6,5,0,1,5,4,0,1,7,1,3,2,1,4
"Otu01994",0,1,6,1,3,8,0,3,0,6,4,7,1,0,3
"Otu01996",1,1,0,0,4,9,0,3,3,0,0,4,3,7,8
"Otu02012",3,3,0,0,1,2,0,2,3,1,8,1,7,6,6
"Otu02014",9,2,6,0,0,5,4,3,1,4,5,4,0,0,0
"Otu02024",2,0,6,1,2,6,3,3,7,6,2,0,0,2,3
"Otu02029",3,0,8,2,2,3,1,2,1,1,4,6,8,0,2
"Otu02038",6,5,8,0,0,0,1,7,1,1,7,4,0,2,1
"Otu02054",4,4,6,2,1,1,1,0,4,2,2,1,5,6,4
"Otu02064",13,5,1,2,2,3,1,0,0,2,3,0,0,4,7
"Otu02089",3,4,0,0,7,5,0,5,0,8,1,3,3,0,4
"Otu02094",1,6,6,3,2,2,0,1,4,5,2,0,5,6,0
"Otu02103",1,7,6,2,4,8,1,2,2,1,2,3,0,2,2
"Otu02112",4,8,4,0,2,0,1,1,1,8,6,0,3,4,1
"Otu02129",1,2,0,6,2,6,4,3,5,4,0,1,4,0,5
"Otu02150",4,7,10,5,0,4,0,2,3,3,2,1,1,1,0
"Otu02166",0,6,3,1,2,10,0,5,5,1,1,3,3,1,2
"Otu02167",5,0,4,4,3,1,3,6,2,6,3,0,1,2,3
"Otu02168",7,1,2,3,4,2,3,5,6,2,5,3,0,0,0
"Otu02176",0,0,0,0,0,0,0,0,0,0,0,0,17,11,15
"Otu02180",3,1,0,0,0,0,0,1,0,0,4,0,6,16,12
"Otu02183",3,0,2,0,0,5,6,7,1,5,6,7,1,0,0
"Otu02187",4,10,5,5,4,2,1,3,0,1,4,0,2,1,1
"Otu02207",0,2,10,3,0,4,3,4,2,3,2,6,1,0,3
"Otu02224",0,4,1,5,3,3,6,5,5,0,4,5,0,0,2
"Otu02240",2,5,3,2,1,2,5,3,2,3,2,1,4,3,5
"Otu02259",7,8,2,1,4,2,0,6,2,3,1,7,0,0,0
"Otu02276",2,4,3,0,1,0,0,1,1,0,5,2,1,19,4
"Otu02333",3,1,4,0,1,1,1,5,1,1,3,4,6,5,7
"Otu02335",4,1,6,4,2,0,3,0,0,0,0,2,7,8,6
"Otu02375",4,6,0,2,6,1,0,0,1,3,6,3,5,3,3
"Otu02377",2,4,3,3,1,1,4,0,4,3,2,2,8,6,0
"Otu02380",4,4,4,8,1,1,1,5,4,3,1,1,3,3,0
"Otu02402",43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu02427",0,2,1,0,3,3,4,0,0,0,2,3,9,7,9
"Otu02433",2,5,3,7,5,3,5,2,5,2,2,2,0,0,0
"Otu02437",5,3,0,0,1,0,0,33,0,1,0,0,0,0,0
"Otu02452",6,2,4,2,2,3,2,3,6,0,4,0,4,3,2
"Otu02524",5,5,3,5,8,1,1,0,5,2,5,2,0,0,1
"Otu02549",6,0,0,0,3,4,2,5,1,0,1,5,8,4,4
"Otu02725",0,2,3,0,0,6,3,3,6,5,2,4,2,4,3
"Otu01738",13,1,5,12,0,0,0,0,1,4,4,1,0,0,1
"Otu01771",3,1,3,4,2,3,5,0,0,4,8,7,0,1,1
"Otu01831",2,0,5,2,6,1,1,4,1,4,3,4,4,3,2
"Otu01860",2,1,2,0,2,1,4,5,0,6,3,3,6,5,2
"Otu01969",3,0,1,0,6,5,0,2,0,6,4,0,8,3,4
"Otu01971",0,0,0,0,0,0,0,0,0,0,1,0,12,16,13
"Otu01985",2,3,13,3,1,6,0,0,2,0,3,6,1,1,1
"Otu01993",1,3,1,1,3,5,4,8,3,3,2,5,2,0,1
"Otu02018",0,1,0,0,1,1,1,2,2,0,0,0,6,14,14
"Otu02021",3,2,2,0,1,3,2,0,3,2,1,0,11,2,10
"Otu02062",0,0,2,0,5,11,2,0,4,0,5,8,0,4,1
"Otu02067",1,8,0,2,2,2,0,3,0,2,0,0,4,11,7
"Otu02080",1,0,5,0,3,8,3,3,0,3,0,1,4,3,8
"Otu02120",4,1,0,6,1,6,4,6,0,2,1,0,0,5,6
"Otu02206",1,2,5,5,8,2,2,2,3,4,2,0,0,3,3
"Otu02236",4,6,0,1,0,3,2,5,1,2,2,1,5,6,4
"Otu02242",4,4,3,2,4,5,0,3,1,2,0,1,5,4,4
"Otu02309",2,5,8,2,5,1,3,2,2,1,5,4,0,0,2
"Otu02324",7,1,2,2,1,4,0,0,0,2,2,5,1,0,15
"Otu02329",4,0,4,3,8,0,3,4,1,9,3,2,1,0,0
"Otu02345",3,3,1,1,4,3,1,6,2,7,2,4,1,3,1
"Otu02354",2,4,2,2,1,4,1,3,0,4,3,5,4,1,6
"Otu02367",1,0,0,28,0,1,0,0,0,1,0,0,4,4,3
"Otu02378",0,4,5,0,0,5,1,7,0,10,4,0,3,3,0
"Otu02399",3,6,2,1,1,8,0,1,2,7,6,1,0,4,0
"Otu02416",3,1,0,0,0,0,6,27,1,2,0,1,0,1,0
"Otu02451",6,0,5,3,1,9,0,3,0,0,1,1,0,3,10
"Otu02511",5,2,0,11,0,0,9,15,0,0,0,0,0,0,0
"Otu02567",4,8,5,4,3,5,1,4,1,1,6,0,0,0,0
"Otu01687",0,6,0,1,1,1,0,0,0,0,0,0,9,15,8
"Otu01976",1,6,0,0,5,0,0,1,0,0,0,0,13,12,3
"Otu01990",5,3,0,2,3,1,0,3,0,2,2,0,5,12,3
"Otu01992",0,0,1,3,0,5,3,3,2,1,0,4,7,7,5
"Otu02030",2,4,5,0,3,4,2,1,0,1,0,0,8,8,3
"Otu02043",5,5,4,3,1,4,3,0,6,4,3,2,0,1,0
"Otu02048",2,3,8,2,6,3,4,5,0,1,1,0,0,4,2
"Otu02057",13,3,2,0,3,1,2,3,4,3,6,0,1,0,0
"Otu02086",0,8,3,3,2,5,4,2,2,1,6,3,2,0,0
"Otu02105",0,0,0,0,0,0,0,0,0,0,0,0,20,10,11
"Otu02110",0,4,7,4,1,1,2,2,0,0,4,0,4,4,8
"Otu02127",1,3,5,2,2,4,4,0,4,1,1,4,4,3,3
"Otu02134",10,3,2,1,1,3,0,10,6,2,3,0,0,0,0
"Otu02153",7,1,5,3,8,3,1,1,0,1,0,5,3,1,2
"Otu02171",0,0,0,0,0,1,0,0,0,0,0,0,21,5,14
"Otu02199",5,3,1,6,3,4,5,2,6,0,3,2,0,0,1
"Otu02200",1,0,8,5,6,7,1,3,0,1,0,3,2,1,3
"Otu02219",0,2,7,0,0,1,3,2,2,3,5,2,4,8,2
"Otu02221",1,0,0,4,0,0,1,6,8,0,3,2,9,1,6
"Otu02225",3,1,3,0,4,5,2,3,1,4,3,8,1,1,2
"Otu02226",6,3,2,3,1,5,3,5,1,4,2,1,0,4,1
"Otu02235",17,0,4,3,5,5,0,0,2,0,2,3,0,0,0
"Otu02239",0,0,5,4,2,4,4,2,5,1,5,8,1,0,0
"Otu02246",0,1,0,2,1,0,0,1,0,1,0,0,8,13,14
"Otu02253",2,1,3,0,2,1,3,5,4,5,5,5,2,1,2
"Otu02255",4,2,5,1,0,2,1,9,6,2,1,7,0,0,1
"Otu02292",2,2,3,1,7,5,3,3,4,2,8,1,0,0,0
"Otu02320",7,4,5,1,1,0,5,6,0,6,0,1,4,1,0
"Otu02347",4,0,6,0,0,4,7,4,0,3,3,1,4,5,0
"Otu02362",2,2,4,0,5,2,3,2,5,6,2,2,2,1,3
"Otu02374",2,6,0,1,0,10,1,5,0,5,5,2,2,1,1
"Otu02383",0,4,12,4,2,2,3,0,0,4,4,2,1,0,3
"Otu02386",1,11,5,2,3,3,2,0,3,2,2,2,3,2,0
"Otu02391",5,3,5,1,4,3,1,5,3,2,3,1,0,3,2
"Otu02405",4,4,11,0,1,2,3,2,2,1,1,7,2,0,1
"Otu02426",4,2,0,4,0,3,3,1,3,4,5,1,4,2,5
"Otu02428",12,2,0,3,0,0,3,19,0,0,0,0,0,0,2
"Otu02438",4,4,2,3,6,3,0,1,6,3,4,5,0,0,0
"Otu02495",1,0,2,2,3,0,3,4,0,4,7,7,4,1,3
"Otu02497",12,6,10,1,2,1,2,0,0,0,0,4,3,0,0
"Otu02510",1,5,3,4,4,4,1,6,3,4,2,3,0,1,0
"Otu02575",4,10,2,11,0,6,2,0,1,0,4,0,1,0,0
"Otu01813",6,2,3,0,1,1,6,4,6,1,4,0,3,2,1
"Otu01888",0,0,0,3,3,4,3,3,8,3,6,3,0,1,3
"Otu01973",1,3,2,0,2,1,4,3,0,3,5,5,8,2,1
"Otu01981",0,2,1,0,2,0,4,7,2,7,8,4,2,0,1
"Otu01995",6,9,6,2,2,1,1,2,3,0,0,1,5,0,2
"Otu02107",2,5,2,0,12,0,1,0,0,0,2,0,7,5,4
"Otu02119",0,1,5,1,1,4,1,0,4,4,3,2,3,6,5
"Otu02135",0,0,0,1,1,4,0,3,1,0,2,6,9,8,5
"Otu02184",0,1,0,1,16,1,0,7,1,0,3,3,0,6,1
"Otu02197",1,4,2,2,3,6,0,0,1,3,14,0,0,2,2
"Otu02231",5,4,4,5,1,5,0,1,0,2,5,3,2,3,0
"Otu02249",0,1,0,2,4,2,3,9,1,4,2,5,1,5,1
"Otu02252",4,1,1,0,0,1,3,3,3,4,5,3,6,1,5
"Otu02264",5,2,3,1,2,3,5,7,0,2,4,5,0,1,0
"Otu02271",9,3,3,1,4,5,0,1,3,0,1,4,1,2,3
"Otu02282",8,4,5,3,6,1,0,0,4,0,5,4,0,0,0
"Otu02301",3,7,0,2,0,2,2,4,4,2,2,10,1,0,1
"Otu02303",6,1,2,2,9,1,2,4,1,1,2,4,2,3,0
"Otu02314",3,9,7,1,3,5,2,1,0,2,3,1,0,1,2
"Otu02323",0,1,4,0,1,4,3,3,0,1,4,1,4,5,9
"Otu02336",3,2,3,0,0,0,2,5,3,6,5,3,6,2,0
"Otu02349",2,7,2,0,4,6,2,1,6,4,5,1,0,0,0
"Otu02379",4,5,4,0,4,2,1,3,1,5,4,6,0,1,0
"Otu02385",3,5,7,3,0,2,4,1,0,1,0,2,2,1,9
"Otu02414",0,6,1,0,1,2,1,3,3,2,1,1,2,6,11
"Otu02419",3,0,0,2,0,3,3,26,0,2,0,1,0,0,0
"Otu02429",2,1,0,12,3,3,3,1,1,1,1,3,3,2,4
"Otu02439",1,1,0,1,6,7,0,0,3,6,2,4,3,6,0
"Otu02528",4,2,9,3,2,1,3,0,0,5,2,4,3,2,0
"Otu02537",1,0,0,0,8,3,2,5,0,3,4,4,1,9,0
"Otu02542",8,4,5,0,3,0,2,3,2,1,4,5,0,1,2
"Otu02544",0,6,7,3,2,3,2,3,0,1,1,1,5,0,6
"Otu02579",5,0,0,6,1,4,1,4,7,1,0,0,0,7,4
"Otu02599",1,6,2,1,2,5,1,6,2,6,2,3,2,0,1
"Otu02643",9,0,0,0,0,15,1,0,15,0,0,0,0,0,0
"Otu02683",2,0,0,1,1,0,15,2,0,1,4,1,10,2,1
"Otu02691",27,8,0,0,0,0,0,4,1,0,0,0,0,0,0
"Otu02978",0,0,0,40,0,0,0,0,0,0,0,0,0,0,0
"Otu01819",2,3,6,1,4,0,1,1,4,1,2,3,3,6,2
"Otu01979",0,5,2,0,2,4,1,0,3,2,7,2,5,2,4
"Otu02011",3,8,0,0,0,3,0,3,0,0,15,1,0,5,1
"Otu02042",2,0,3,0,6,5,2,0,0,3,1,5,3,3,6
"Otu02128",4,3,8,3,2,5,5,1,2,0,1,5,0,0,0
"Otu02132",4,1,12,6,4,1,0,1,2,6,0,2,0,0,0
"Otu02163",1,0,5,3,2,6,3,1,4,2,1,6,0,3,2
"Otu02174",2,6,6,2,3,5,3,2,0,0,5,3,0,1,1
"Otu02175",7,0,0,3,1,7,0,0,5,0,6,1,0,7,2
"Otu02179",3,4,8,5,1,2,4,2,0,2,4,0,0,4,0
"Otu02185",2,4,1,2,1,2,2,3,0,2,2,1,8,7,2
"Otu02203",4,9,5,1,1,1,0,1,6,1,2,0,5,2,1
"Otu02215",4,5,2,6,1,6,0,6,0,1,0,1,2,4,1
"Otu02218",1,3,4,0,1,6,1,4,3,1,3,3,1,0,8
"Otu02247",3,5,4,1,3,0,1,1,0,1,6,3,2,6,3
"Otu02256",1,1,13,1,2,4,3,0,5,1,3,2,1,2,0
"Otu02270",8,4,2,1,0,2,1,4,4,2,6,1,3,1,0
"Otu02286",0,0,0,0,0,1,1,2,4,0,0,0,12,11,8
"Otu02290",0,0,0,0,0,0,0,0,0,0,0,0,17,15,7
"Otu02296",2,7,2,0,4,0,1,6,0,3,7,7,0,0,0
"Otu02310",8,4,7,1,1,3,0,0,0,2,3,2,5,2,1
"Otu02316",1,3,1,4,2,0,0,0,0,0,0,0,13,8,7
"Otu02369",1,7,1,0,1,0,4,0,3,4,1,7,2,4,4
"Otu02371",1,0,2,0,0,33,0,0,0,0,0,0,0,2,1
"Otu02372",1,1,2,2,2,2,1,4,0,5,6,0,8,5,0
"Otu02388",0,4,2,1,0,2,0,2,1,5,0,7,7,6,2
"Otu02413",3,3,4,0,0,4,1,5,4,2,4,9,0,0,0
"Otu02422",8,6,1,0,2,5,1,4,0,4,4,3,0,0,1
"Otu02431",3,1,0,6,0,7,0,4,1,2,0,5,0,4,6
"Otu02434",5,2,1,7,0,6,4,2,4,4,0,3,1,0,0
"Otu02436",0,10,6,0,2,2,0,0,0,2,6,0,1,2,8
"Otu02464",6,4,2,0,5,2,3,1,3,1,3,1,1,3,4
"Otu02470",4,5,4,1,0,0,0,0,0,0,2,0,3,8,12
"Otu02478",0,1,1,1,2,5,2,9,2,3,1,7,3,2,0
"Otu02484",4,2,11,0,0,2,3,3,1,3,4,6,0,0,0
"Otu02494",8,3,0,6,4,8,3,2,0,1,0,2,0,2,0
"Otu02504",4,0,2,0,2,4,1,2,2,8,2,3,2,0,7
"Otu02546",0,4,1,25,3,0,0,1,1,0,0,0,0,3,1
"Otu02548",0,0,2,3,4,4,0,6,0,0,8,4,1,3,4
"Otu02557",1,0,2,0,0,4,0,2,0,0,2,0,9,13,6
"Otu02606",0,1,0,1,7,1,1,5,1,2,3,3,4,9,1
"Otu02612",0,6,2,1,0,8,4,0,8,0,6,0,3,1,0
"Otu02625",1,0,2,19,5,2,4,1,0,0,0,4,0,0,1
"Otu02674",6,7,3,0,1,0,0,6,10,2,2,0,2,0,0
"Otu02803",0,0,7,1,0,0,2,8,5,5,1,5,1,4,0
"Otu01957",7,2,1,3,0,3,1,5,1,0,5,3,2,1,4
"Otu02005",6,0,3,4,4,1,0,1,1,1,2,4,6,5,0
"Otu02034",3,1,3,0,2,3,3,6,2,2,2,4,2,3,2
"Otu02040",5,4,0,0,4,8,3,0,3,0,10,1,0,0,0
"Otu02125",1,0,2,1,0,2,2,5,3,5,1,7,2,6,1
"Otu02157",0,1,1,2,3,8,1,13,3,1,2,1,2,0,0
"Otu02178",0,0,0,0,4,14,1,0,2,1,1,6,3,3,3
"Otu02192",1,1,1,0,1,4,3,1,2,9,5,5,4,1,0
"Otu02209",3,12,6,7,0,5,1,0,1,0,2,1,0,0,0
"Otu02217",7,0,3,2,2,3,3,2,0,7,4,4,1,0,0
"Otu02251",1,2,2,3,14,3,1,0,0,4,4,2,1,0,1
"Otu02257",9,5,5,0,3,5,1,2,0,1,3,0,2,0,2
"Otu02275",8,2,4,4,1,1,1,3,4,2,1,5,0,1,1
"Otu02287",1,3,0,2,1,3,0,5,3,7,1,5,5,0,2
"Otu02289",1,0,1,1,0,1,6,4,3,8,5,6,1,1,0
"Otu02302",2,8,4,3,2,4,2,0,1,2,1,1,3,3,2
"Otu02331",5,4,1,1,8,2,1,3,9,3,0,1,0,0,0
"Otu02339",0,2,0,0,2,4,3,3,0,3,6,5,7,3,0
"Otu02361",0,2,1,7,1,1,2,5,4,2,7,3,1,0,2
"Otu02366",5,1,0,2,2,2,0,3,6,7,5,0,2,3,0
"Otu02368",0,7,12,3,1,2,5,0,0,0,3,1,2,1,1
"Otu02370",0,0,4,4,5,2,5,0,5,5,2,0,2,0,4
"Otu02382",1,4,2,3,0,0,2,0,0,0,0,1,10,10,5
"Otu02421",3,2,0,1,4,6,2,2,4,0,5,1,5,2,1
"Otu02423",0,3,1,0,4,1,3,3,0,0,2,2,13,4,2
"Otu02445",2,0,2,1,6,2,5,2,3,0,0,3,1,3,8
"Otu02449",11,3,0,1,2,3,2,0,3,0,4,1,4,4,0
"Otu02460",1,16,6,0,1,1,1,2,1,2,1,3,0,3,0
"Otu02485",5,11,4,1,0,1,0,0,5,4,0,2,3,1,1
"Otu02489",1,0,2,0,3,0,2,6,1,6,5,5,3,2,2
"Otu02527",5,3,2,0,3,8,3,2,1,4,3,0,2,2,0
"Otu02560",0,3,8,0,2,0,2,0,0,1,0,0,6,7,9
"Otu02566",3,0,0,8,3,4,0,3,0,1,2,3,1,6,4
"Otu02626",8,6,7,0,2,0,2,1,3,1,3,3,0,1,1
"Otu02632",2,0,6,7,3,6,6,0,0,1,2,0,0,1,4
"Otu02638",2,2,4,0,4,8,4,4,0,6,1,3,0,0,0
"Otu02709",2,3,2,0,2,1,6,5,3,8,3,2,1,0,0
"Otu02723",0,3,1,4,2,5,4,0,0,5,5,2,3,2,2
"Otu02726",15,1,2,0,2,0,0,6,7,0,1,4,0,0,0
"Otu02789",2,3,0,4,0,2,2,2,5,3,0,4,8,2,1
"Otu02047",7,3,1,0,3,2,1,1,2,6,7,3,0,1,0
"Otu02083",0,0,0,0,0,0,1,0,0,0,0,1,19,7,9
"Otu02100",0,3,3,1,0,2,3,0,2,4,5,5,3,4,2
"Otu02151",0,0,4,1,3,2,0,2,0,4,4,1,1,13,2
"Otu02170",1,6,18,0,1,4,1,3,1,0,2,0,0,0,0
"Otu02198",4,4,1,2,0,3,2,3,0,3,1,9,1,2,2
"Otu02210",1,3,1,2,0,3,2,1,0,3,1,1,5,8,6
"Otu02238",2,2,1,7,2,0,0,5,3,1,5,1,5,2,1
"Otu02260",0,0,0,12,0,1,0,0,0,0,0,0,11,10,3
"Otu02266",0,0,0,1,9,2,2,0,1,1,13,8,0,0,0
"Otu02277",0,1,0,0,1,3,7,4,0,3,1,1,6,9,1
"Otu02278",1,2,2,3,3,4,2,1,0,4,9,2,1,3,0
"Otu02294",1,0,0,0,0,3,3,6,0,3,0,0,9,5,7
"Otu02313",2,1,7,3,7,2,1,1,3,2,8,0,0,0,0
"Otu02327",2,1,0,0,0,5,6,9,9,0,0,1,0,3,1
"Otu02340",4,2,0,2,6,1,0,2,3,4,3,0,4,2,4
"Otu02341",9,1,2,2,2,4,0,1,0,1,9,1,2,2,1
"Otu02392",1,4,0,0,2,6,0,2,1,6,5,2,3,3,2
"Otu02394",0,7,3,1,3,1,3,4,1,2,3,7,0,1,1
"Otu02396",6,4,10,1,1,0,2,5,1,4,2,1,0,0,0
"Otu02409",0,3,3,0,1,7,0,4,7,1,0,5,3,2,1
"Otu02430",0,6,3,1,3,6,2,4,3,0,0,2,0,5,2
"Otu02458",4,6,0,1,4,0,4,7,0,1,4,2,1,3,0
"Otu02459",1,3,0,2,2,6,2,4,2,4,2,0,2,0,7
"Otu02467",3,0,0,0,4,15,4,0,1,4,2,0,4,0,0
"Otu02472",4,6,3,2,0,6,0,2,4,4,3,3,0,0,0
"Otu02473",8,4,3,0,0,6,1,4,0,6,1,2,0,1,1
"Otu02476",0,2,1,5,5,1,1,7,0,6,6,1,2,0,0
"Otu02503",2,0,0,0,1,3,2,0,7,6,7,2,0,1,6
"Otu02505",1,1,2,1,3,3,5,5,4,3,4,1,1,1,2
"Otu02512",2,0,0,3,5,1,2,4,0,7,2,4,4,1,2
"Otu02564",3,1,3,3,3,4,3,4,2,3,5,1,1,0,1
"Otu02600",2,8,9,0,0,3,1,0,0,2,1,1,3,1,6
"Otu02609",2,5,6,0,0,0,0,1,4,2,2,3,4,5,3
"Otu02622",3,2,2,6,6,3,2,1,1,0,4,2,1,1,3
"Otu02633",1,1,0,0,0,1,5,28,0,0,0,0,0,1,0
"Otu02645",1,4,5,0,4,2,0,5,0,5,3,3,1,3,1
"Otu02649",0,0,0,3,1,6,2,1,1,0,2,2,7,7,5
"Otu02657",0,0,4,0,0,0,1,0,8,0,15,0,0,0,9
"Otu02671",4,0,4,6,6,8,0,5,0,3,1,0,0,0,0
"Otu02702",9,2,6,0,0,1,0,3,0,14,0,0,2,0,0
"Otu02768",1,3,8,0,1,0,0,0,0,16,0,3,0,3,2
"Otu02780",0,2,0,6,3,4,8,3,3,0,4,2,0,2,0
"Otu02807",9,2,3,0,1,0,4,18,0,0,0,0,0,0,0
"Otu02814",3,5,0,3,6,2,0,2,4,4,3,2,0,2,1
"Otu02841",3,7,0,6,3,1,0,0,6,1,3,2,0,0,5
"Otu02851",3,4,3,3,4,5,4,0,1,2,5,0,1,2,0
"Otu02874",0,2,4,1,3,4,0,0,0,0,0,2,11,4,6
"Otu02989",0,0,33,1,0,0,2,0,1,0,0,0,0,0,0
"Otu02063",5,0,8,0,3,5,3,2,4,1,0,2,1,2,0
"Otu02114",5,3,0,0,4,4,2,2,1,5,5,4,0,0,1
"Otu02121",3,4,3,0,0,4,1,0,0,1,2,4,8,2,4
"Otu02147",3,2,5,0,1,2,2,4,1,1,3,2,3,4,3
"Otu02190",1,4,0,4,1,11,3,0,0,3,2,4,1,2,0
"Otu02234",1,7,0,0,2,3,2,3,1,0,0,0,5,9,3
"Otu02237",2,4,4,0,2,1,5,2,1,2,2,2,5,3,1
"Otu02262",5,1,0,2,3,5,1,1,0,6,4,3,5,0,0
"Otu02280",0,0,1,0,1,2,1,1,3,4,4,8,7,1,3
"Otu02304",0,6,5,3,5,4,2,1,1,0,4,1,1,1,2
"Otu02307",4,4,5,0,4,3,0,3,2,1,0,0,6,0,4
"Otu02308",4,1,3,0,4,2,5,2,0,0,9,1,0,5,0
"Otu02334",7,2,6,2,0,0,7,2,0,3,0,4,2,0,1
"Otu02338",1,5,0,0,2,5,3,4,0,3,2,6,1,1,3
"Otu02356",1,8,5,3,4,0,3,1,0,2,1,3,0,1,4
"Otu02358",2,0,0,0,5,5,6,4,2,0,1,4,4,2,1
"Otu02376",1,1,1,2,5,3,1,4,2,0,2,5,3,2,4
"Otu02381",9,8,6,0,0,2,0,1,1,3,2,3,1,0,0
"Otu02408",0,3,1,1,2,2,0,2,0,0,2,0,5,12,6
"Otu02453",2,5,4,1,5,3,1,2,1,0,2,1,2,3,4
"Otu02466",0,0,0,1,0,0,0,0,0,1,0,0,17,9,8
"Otu02474",0,1,0,0,4,0,9,0,4,1,3,0,9,3,2
"Otu02492",3,2,1,4,4,0,1,0,0,0,2,2,11,2,4
"Otu02498",0,0,2,0,1,7,0,4,1,8,4,1,4,4,0
"Otu02509",3,1,2,1,0,5,3,3,0,0,7,1,9,1,0
"Otu02520",2,1,5,0,4,4,2,9,1,5,1,2,0,0,0
"Otu02540",3,1,5,1,0,2,3,3,3,5,2,5,1,0,2
"Otu02562",0,0,1,0,1,10,3,0,3,6,7,3,2,0,0
"Otu02569",29,6,0,0,0,0,0,0,0,0,0,0,0,0,1
"Otu02570",17,6,1,1,1,0,0,4,6,0,0,0,0,0,0
"Otu02580",0,3,2,3,4,1,0,1,2,3,6,6,2,1,2
"Otu02583",4,3,0,0,0,4,2,6,0,2,3,5,5,1,1
"Otu02630",5,3,2,1,3,3,2,5,0,0,1,3,3,0,5
"Otu02648",7,0,1,0,0,1,0,4,0,3,0,0,10,4,6
"Otu02666",1,0,0,11,1,8,0,0,0,0,0,3,0,4,8
"Otu02678",5,0,2,6,3,0,0,1,0,0,1,0,0,2,16
"Otu02693",0,5,0,0,1,4,0,2,4,2,0,1,1,10,6
"Otu02695",2,5,2,0,1,2,0,0,8,1,4,4,4,1,2
"Otu02696",0,0,0,0,0,3,1,9,3,5,6,8,1,0,0
"Otu02701",6,6,1,0,0,3,4,3,0,2,4,6,0,1,0
"Otu02739",0,2,3,1,4,0,1,5,0,1,2,1,3,7,6
"Otu02743",1,1,2,0,7,4,2,6,0,9,1,2,0,1,0
