"","DC1","DC2","DC3","DS1","DS2","DS3","SC1","SC2","SC3","SS1","SS2","SS3","U1","U2","U3"
"Otu00166",20,34,26,95,33,21,38,20,46,20,34,24,15,24,14
"Otu00150",25,22,19,37,21,32,49,17,56,31,29,28,26,32,36
"Otu00164",26,20,33,33,38,15,75,33,55,34,32,36,8,7,14
"Otu00154",31,45,60,48,36,25,38,16,34,29,32,28,7,8,13
"Otu00179",36,21,25,111,11,22,38,16,43,9,33,19,17,21,26
"Otu00158",31,50,28,40,39,18,36,26,39,32,26,26,13,16,26
"Otu00167",27,24,25,19,32,38,39,21,66,46,27,44,10,18,9
"Otu00141",22,61,9,31,55,8,24,14,15,25,16,20,21,66,56
"Otu00161",30,21,24,58,29,31,54,28,36,18,35,35,15,13,15
"Otu00151",42,24,17,41,41,12,45,26,48,43,23,23,18,26,12
"Otu00152",26,23,16,29,25,19,35,15,44,14,19,22,47,61,46
"Otu00165",35,23,24,35,46,35,57,22,49,20,33,25,6,15,16
"Otu00157",11,13,27,44,34,31,61,23,46,30,23,32,21,24,16
"Otu00168",33,17,29,57,29,33,31,22,39,25,22,35,17,22,21
"Otu00159",24,17,21,51,33,10,56,35,48,20,32,29,23,15,16
"Otu00162",30,24,19,28,34,26,39,10,61,12,21,22,39,43,20
"Otu00174",22,13,17,41,28,24,58,20,57,30,47,36,16,8,8
"Otu00170",25,36,13,33,37,33,43,19,55,30,43,27,7,13,8
"Otu00169",16,64,86,63,37,26,5,15,26,12,34,15,7,5,9
"Otu00163",20,31,16,31,30,20,40,29,32,29,26,36,20,29,28
"Otu00180",15,29,45,51,36,38,34,21,37,34,14,24,8,17,10
"Otu00178",21,20,42,40,27,16,34,16,57,18,11,29,24,32,25
"Otu00227",24,24,21,22,5,10,75,53,107,8,9,8,15,15,14
"Otu00187",30,19,21,27,40,38,38,31,35,42,20,32,11,10,12
"Otu00172",32,30,49,13,11,13,37,15,35,25,20,36,23,27,35
"Otu00186",9,12,15,22,30,30,42,21,53,35,27,44,18,16,24
"Otu00190",32,17,14,26,33,30,52,35,38,28,20,25,15,18,14
"Otu00177",45,31,27,59,15,21,34,27,36,16,21,24,9,16,15
"Otu00153",8,6,13,27,14,1,11,3,11,6,9,6,85,83,108
"Otu00173",26,26,37,44,29,29,34,23,27,19,29,34,6,12,15
"Otu00194",39,17,33,83,22,37,26,8,32,14,17,9,12,21,17
"Otu00176",29,23,16,89,12,18,15,10,29,19,30,24,27,26,19
"Otu00183",37,35,22,46,26,20,41,8,52,28,19,16,4,18,13
"Otu00196",27,19,10,35,42,20,35,21,27,40,43,25,7,10,17
"Otu00191",14,22,18,35,22,28,36,25,25,36,36,28,17,12,23
"Otu00195",16,12,15,14,18,37,47,26,38,39,49,30,7,14,13
"Otu00175",21,30,9,39,20,24,11,12,31,9,11,11,40,60,46
"Otu00240",36,34,28,59,16,29,13,14,50,15,15,32,12,11,9
"Otu00198",21,17,24,23,22,15,33,30,28,30,26,21,42,24,16
"Otu00182",29,23,23,32,24,24,21,11,33,30,41,25,17,23,15
"Otu00209",15,24,6,68,20,26,28,18,26,32,24,11,29,24,19
"Otu00219",20,23,20,27,12,25,26,12,49,22,13,15,42,40,23
"Otu00160",13,12,18,38,10,17,23,10,36,23,16,18,45,46,42
"Otu00201",21,13,20,25,13,28,45,17,31,37,33,48,12,15,8
"Otu00214",10,15,19,43,37,17,29,22,55,20,24,31,14,8,22
"Otu00204",9,6,23,27,21,22,45,19,49,26,30,31,17,15,25
"Otu00212",21,6,6,32,24,16,62,25,42,20,21,21,25,17,27
"Otu00185",26,29,44,45,20,25,23,18,33,28,25,19,6,11,12
"Otu00188",7,23,32,15,19,17,23,14,32,37,13,35,28,35,33
"Otu00217",12,13,28,47,24,20,29,11,36,26,32,29,14,27,15
"Otu00210",44,37,16,33,10,23,46,26,28,29,35,15,3,6,11
"Otu00171",29,22,21,32,19,19,26,6,37,15,24,18,25,46,21
"Otu00181",28,28,15,15,35,16,34,12,36,23,29,41,20,15,13
"Otu00184",41,20,36,20,22,23,30,17,33,24,32,19,8,16,19
"Otu00192",14,22,23,24,22,16,16,10,27,16,17,14,47,40,52
"Otu00216",28,22,28,18,35,25,42,23,39,18,20,38,10,8,6
"Otu00251",41,20,14,20,14,29,62,22,93,13,9,9,4,5,5
"Otu00197",9,15,21,21,9,15,51,26,27,33,28,15,29,22,33
"Otu00224",23,24,28,38,31,23,31,13,23,24,25,29,6,14,20
"Otu00229",27,33,28,15,22,15,37,19,38,33,25,26,8,4,17
"Otu00203",35,41,47,19,21,15,31,15,37,28,19,14,6,7,11
"Otu00463",0,0,0,11,0,0,0,13,321,0,0,0,0,0,0
"Otu00206",21,13,14,9,13,25,26,98,52,28,19,15,1,3,7
"Otu00225",27,17,14,26,21,16,45,35,45,18,12,38,9,9,12
"Otu00233",21,28,16,62,22,29,16,7,40,16,26,16,15,20,6
"Otu00202",14,24,20,25,22,24,30,12,42,15,33,27,20,13,18
"Otu00221",16,21,27,29,27,18,28,8,39,23,28,19,25,13,17
"Otu00231",16,13,17,34,17,26,29,23,29,28,24,37,11,19,13
"Otu00208",24,24,42,15,25,14,18,12,29,32,30,25,19,13,13
"Otu00193",12,11,8,30,19,21,45,19,41,18,24,22,20,23,21
"Otu00228",25,14,10,33,39,31,33,10,25,25,41,11,13,11,13
"Otu00215",17,13,5,51,28,19,47,17,17,20,19,17,22,19,22
"Otu00200",19,22,27,18,11,18,34,10,27,27,24,31,12,33,19
"Otu00211",14,41,42,24,32,21,26,8,27,29,23,26,9,5,5
"Otu00226",24,37,38,31,19,16,33,19,28,19,22,14,9,6,17
"Otu00207",17,16,18,21,14,12,22,20,35,8,15,16,49,37,30
"Otu00213",12,39,18,63,24,18,19,6,26,13,26,9,15,20,21
"Otu00223",16,22,8,16,14,12,19,12,29,28,32,17,41,41,22
"Otu00220",17,20,12,27,25,11,22,12,26,28,12,32,24,29,31
"Otu00222",29,37,31,22,19,23,24,11,22,18,33,26,9,9,12
"Otu00232",5,12,7,38,30,31,19,21,19,35,24,37,23,14,10
"Otu00249",13,20,41,19,41,22,23,9,33,16,15,28,6,8,26
"Otu00271",24,19,21,82,14,23,20,12,26,17,18,14,13,9,8
"Otu00261",12,14,11,41,15,39,25,19,40,17,22,19,11,13,20
"Otu00218",13,22,23,29,19,24,11,11,25,12,17,16,36,26,33
"Otu00236",6,9,27,27,21,23,39,15,40,15,34,40,3,8,9
"Otu00241",34,31,23,40,27,29,17,10,25,9,9,8,8,24,22
"Otu00244",8,8,9,20,15,17,39,17,33,34,17,32,20,22,25
"Otu00250",32,23,33,42,21,37,21,8,34,15,13,18,4,8,7
"Otu00230",34,27,35,33,20,17,25,13,21,19,23,32,3,8,5
"Otu00234",20,12,26,39,17,19,17,7,33,22,25,32,19,16,11
"Otu00264",40,24,17,24,12,24,15,31,50,16,10,37,1,5,8
"Otu00268",11,12,20,18,30,13,40,29,47,23,21,23,6,9,10
"Otu00239",13,28,28,27,12,25,30,12,50,13,23,29,7,4,8
"Otu00242",20,33,19,22,22,18,26,14,29,24,15,28,11,10,18
"Otu00280",3,0,46,14,13,15,32,7,29,45,20,79,2,3,1
"Otu00235",9,16,30,33,17,14,19,22,23,20,35,22,5,22,20
"Otu00286",89,13,7,18,5,17,14,29,85,13,6,6,0,3,2
"Otu00285",9,13,17,61,19,8,54,14,17,14,24,23,6,3,22
"Otu00205",7,7,3,16,9,13,11,9,19,8,9,10,73,56,51
"Otu00256",22,22,17,47,17,21,25,8,18,18,22,18,11,14,21
"Otu00272",28,33,20,21,21,20,36,18,32,22,21,22,2,0,5
"Otu00284",9,11,11,47,17,27,39,25,27,21,19,32,5,8,3
"Otu00243",25,19,27,28,18,12,12,7,15,13,17,15,36,31,25
"Otu00246",20,17,16,20,25,15,31,25,30,18,19,41,4,9,9
"Otu00254",10,19,19,34,19,22,19,12,39,22,32,20,7,14,11
"Otu00262",27,22,22,23,27,19,21,17,24,23,23,42,3,2,4
"Otu00265",5,3,6,22,5,3,10,4,6,58,3,4,16,8,145
"Otu00238",14,9,6,15,21,12,24,10,19,13,21,14,37,44,34
"Otu00394",48,12,2,69,0,1,79,77,0,0,3,0,0,1,1
"Otu00237",4,9,8,59,5,8,16,1,7,3,4,4,60,42,61
"Otu00258",12,30,15,32,17,19,34,13,20,27,20,23,16,10,3
"Otu00275",11,14,6,37,22,17,35,19,33,14,33,25,6,10,9
"Otu00255",10,29,29,31,21,16,12,9,30,19,18,17,24,8,14
"Otu00338",14,34,15,6,0,4,24,66,78,24,4,15,0,0,0
"Otu00257",18,15,9,32,22,14,28,19,35,19,18,21,17,6,10
"Otu00279",10,12,7,26,36,24,11,13,36,14,13,24,20,21,15
"Otu00294",15,11,9,16,21,10,24,19,26,31,24,29,16,19,11
"Otu00320",15,21,22,36,22,16,29,11,25,15,23,17,12,11,6
"Otu00732",0,0,0,278,0,0,0,0,0,0,0,0,0,0,0
"Otu00281",27,31,19,26,11,14,20,7,23,11,12,24,8,20,24
"Otu00355",21,16,30,33,21,21,25,8,42,19,12,14,4,5,6
"Otu00306",21,38,26,24,22,13,13,5,25,11,14,8,10,21,25
"Otu00247",11,3,7,14,16,27,28,12,46,19,28,22,10,19,13
"Otu00274",19,16,23,31,26,24,26,13,26,6,25,22,4,9,5
"Otu00307",12,30,11,16,19,21,28,20,25,22,13,26,8,17,7
"Otu00267",9,7,30,14,24,12,31,10,26,21,17,26,16,19,9
"Otu00326",14,14,10,27,27,28,20,10,26,13,18,18,21,12,13
"Otu00309",12,26,20,18,25,27,29,15,26,14,19,17,2,11,9
"Otu00276",16,23,17,29,13,26,8,7,24,12,12,8,22,30,22
"Otu00278",21,12,14,31,17,10,21,20,25,32,18,16,13,15,4
"Otu00260",27,32,12,19,19,19,22,16,17,17,19,23,4,15,7
"Otu00263",13,12,21,12,19,15,11,17,18,22,12,17,20,31,28
"Otu00289",29,29,25,37,11,28,17,3,17,12,14,14,16,7,9
"Otu00266",6,18,22,28,13,19,24,9,27,21,23,24,5,12,16
"Otu00248",12,16,6,27,18,15,35,12,10,25,15,23,28,9,15
"Otu00273",14,17,13,26,21,15,18,10,20,29,23,23,14,16,7
"Otu00313",21,30,33,24,10,9,25,15,6,19,11,11,16,14,21
"Otu00330",15,22,19,27,23,17,15,15,16,31,16,21,10,7,11
"Otu00259",13,8,8,11,11,16,14,16,28,15,9,15,34,29,37
"Otu00298",18,19,30,8,20,26,28,17,18,21,13,25,2,7,12
"Otu00314",8,16,17,26,11,30,16,8,23,18,15,20,14,23,19
"Otu00392",13,13,15,6,0,6,22,89,82,3,2,13,0,0,0
"Otu00282",16,22,8,11,15,11,21,16,25,14,12,23,19,21,29
"Otu00253",15,20,23,15,4,31,14,7,18,19,12,11,15,31,27
"Otu00299",9,11,17,18,25,23,26,6,33,20,32,17,5,8,12
"Otu00301",18,15,15,10,21,19,21,23,33,11,23,16,16,11,10
"Otu00293",14,21,11,21,15,19,23,23,25,34,15,24,6,7,3
"Otu00311",14,19,29,22,10,18,17,9,24,15,25,17,13,12,17
"Otu00252",18,13,10,20,7,13,15,11,14,15,13,10,29,42,30
"Otu00277",12,20,10,19,16,20,28,18,35,11,24,23,5,8,11
"Otu00269",9,10,6,17,21,19,30,20,12,29,18,18,15,17,18
