Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,080023,2013,09,01,27.0,1,Y
IDCJAC0010,080023,2013,09,02,26.0,1,Y
IDCJAC0010,080023,2013,09,03,27.6,1,Y
IDCJAC0010,080023,2013,09,04,29.3,1,Y
IDCJAC0010,080023,2013,09,05,27.5,1,Y
IDCJAC0010,080023,2013,09,06,20.5,1,Y
IDCJAC0010,080023,2013,09,07,20.4,1,Y
IDCJAC0010,080023,2013,09,08,22.4,1,Y
IDCJAC0010,080023,2013,09,09,30.6,1,Y
IDCJAC0010,080023,2013,09,10,18.7,1,Y
IDCJAC0010,080023,2013,09,11,19.6,1,Y
IDCJAC0010,080023,2013,09,12,17.8,1,Y
IDCJAC0010,080023,2013,09,13,11.8,1,Y
IDCJAC0010,080023,2013,09,14,19.7,1,Y
IDCJAC0010,080023,2013,09,15,21.7,1,Y
IDCJAC0010,080023,2013,09,16,15.2,1,Y
IDCJAC0010,080023,2013,09,17,18.5,1,Y
IDCJAC0010,080023,2013,09,18,18.0,1,Y
IDCJAC0010,080023,2013,09,19,18.0,1,Y
IDCJAC0010,080023,2013,09,20,17.6,1,Y
IDCJAC0010,080023,2013,09,21,21.0,1,Y
IDCJAC0010,080023,2013,09,22,23.0,1,Y
IDCJAC0010,080023,2013,09,23,29.0,1,Y
IDCJAC0010,080023,2013,09,24,26.5,1,Y
IDCJAC0010,080023,2013,09,25,26.1,1,Y
IDCJAC0010,080023,2013,09,26,18.2,1,Y
IDCJAC0010,080023,2013,09,27,23.2,1,Y
IDCJAC0010,080023,2013,09,28,20.0,1,Y
IDCJAC0010,080023,2013,09,29,24.2,1,Y
IDCJAC0010,080023,2013,09,30,30.3,1,Y
IDCJAC0010,080023,2013,10,01,18.2,1,Y
IDCJAC0010,080023,2013,10,02,20.2,1,Y
IDCJAC0010,080023,2013,10,03,17.4,1,Y
IDCJAC0010,080023,2013,10,04,22.0,1,Y
IDCJAC0010,080023,2013,10,05,28.2,1,Y
IDCJAC0010,080023,2013,10,06,21.1,1,Y
IDCJAC0010,080023,2013,10,07,21.8,1,Y
IDCJAC0010,080023,2013,10,08,23.2,1,Y
IDCJAC0010,080023,2013,10,09,32.7,1,Y
IDCJAC0010,080023,2013,10,10,30.2,1,Y
IDCJAC0010,080023,2013,10,11,22.0,1,Y
IDCJAC0010,080023,2013,10,12,27.3,1,Y
IDCJAC0010,080023,2013,10,13,20.9,1,Y
IDCJAC0010,080023,2013,10,14,18.0,1,Y
IDCJAC0010,080023,2013,10,15,23.3,1,Y
IDCJAC0010,080023,2013,10,16,29.2,1,Y
IDCJAC0010,080023,2013,10,17,18.3,1,Y
IDCJAC0010,080023,2013,10,18,24.0,1,Y
IDCJAC0010,080023,2013,10,19,29.1,1,Y
IDCJAC0010,080023,2013,10,20,35.6,1,Y
IDCJAC0010,080023,2013,10,21,27.9,1,Y
